query_text,application_type,spec_json
Report mixed layer depth index in the North Atlantic from 2021-07 to 2021-08 down to 2000m including real-time data (warn on low QC).,mixed_layer_depth_index,"{'application_type': 'mixed_layer_depth_index', 'region_mode': 'named', 'region_name': 'North Atlantic', 'time_mode': 'range', 'start': '2021-07-01', 'end': '2021-08-28', 'depth_mode': 'max_depth_m', 'max_depth_m': 2000, 'qc_policy': 'mixed_with_warnings', 'required_variables': [], 'derived_indicators': []}"
"Compute ocean heat content time series in bbox lon[20,120] lat[-50,25] from 2025-05 to 2025-07 down to 2000m using adjusted/delayed-mode data only.",ocean_heat_content_timeseries,"{'application_type': 'ocean_heat_content_timeseries', 'region_mode': 'bbox', 'bbox': [20, 120, -50, 25], 'time_mode': 'range', 'start': '2025-05-01', 'end': '2025-07-28', 'depth_mode': 'max_depth_m', 'max_depth_m': 2000, 'qc_policy': 'prefer_adjusted', 'required_variables': ['TEMP', 'PRES'], 'derived_indicators': ['OHC_0_700', 'OHC_0_2000']}"
"Compute ocean heat content time series in bbox lon[20,120] lat[-50,25] from 2022-03 to 2022-04 pressure up to 1000 dbar including real-time data (warn on low QC).",ocean_heat_content_timeseries,"{'application_type': 'ocean_heat_content_timeseries', 'region_mode': 'bbox', 'bbox': [20, 120, -50, 25], 'time_mode': 'range', 'start': '2022-03-01', 'end': '2022-04-28', 'depth_mode': 'max_pressure_dbar', 'max_pressure_dbar': 1000, 'qc_policy': 'mixed_with_warnings', 'required_variables': ['TEMP', 'PRES'], 'derived_indicators': ['OHC_0_700', 'OHC_0_2000']}"
Summarize oxygen minimum zone extent in the North Atlantic from 2021-09 to 2021-10 down to 2000m using adjusted/delayed-mode data only.,oxygen_minimum_zone_extent,"{'application_type': 'oxygen_minimum_zone_extent', 'region_mode': 'named', 'region_name': 'North Atlantic', 'time_mode': 'range', 'start': '2021-09-01', 'end': '2021-10-28', 'depth_mode': 'max_depth_m', 'max_depth_m': 2000, 'qc_policy': 'prefer_adjusted', 'required_variables': [], 'derived_indicators': []}"
Estimate hurricane ocean initialization metrics in the North Atlantic from 2024-02 to 2024-04 pressure up to 2000 dbar including real-time data (warn on low QC).,hurricane_ocean_initialization_metrics,"{'application_type': 'hurricane_ocean_initialization_metrics', 'region_mode': 'named', 'region_name': 'North Atlantic', 'time_mode': 'range', 'start': '2024-02-01', 'end': '2024-04-28', 'depth_mode': 'max_pressure_dbar', 'max_pressure_dbar': 2000, 'qc_policy': 'mixed_with_warnings', 'required_variables': ['TEMP', 'SAL', 'PRES'], 'derived_indicators': ['upper_ocean_heat_content_proxy', 'mld', 'stratification']}"
Report float trajectory spatiotemporal track in the Indian Ocean during 2024 down to 2000m including real-time data (warn on low QC).,float_trajectory_spatiotemporal_track,"{'application_type': 'float_trajectory_spatiotemporal_track', 'region_mode': 'named', 'region_name': 'Indian Ocean', 'time_mode': 'year', 'year': 2024, 'depth_mode': 'max_depth_m', 'max_depth_m': 2000, 'qc_policy': 'mixed_with_warnings', 'required_variables': [], 'derived_indicators': []}"
Analyze oxygen minimum zone extent in the Indian Ocean from 2025-08 to 2025-10 down to 700m using adjusted/delayed-mode data only.,oxygen_minimum_zone_extent,"{'application_type': 'oxygen_minimum_zone_extent', 'region_mode': 'named', 'region_name': 'Indian Ocean', 'time_mode': 'range', 'start': '2025-08-01', 'end': '2025-10-28', 'depth_mode': 'max_depth_m', 'max_depth_m': 700, 'qc_policy': 'prefer_adjusted', 'required_variables': [], 'derived_indicators': []}"
Analyze ocean acidification ph anomaly in the Indian Ocean from 2020-01 to 2020-02 down to 200m including real-time data (warn on low QC).,ocean_acidification_ph_anomaly,"{'application_type': 'ocean_acidification_ph_anomaly', 'region_mode': 'named', 'region_name': 'Indian Ocean', 'time_mode': 'range', 'start': '2020-01-01', 'end': '2020-02-28', 'depth_mode': 'max_depth_m', 'max_depth_m': 200, 'qc_policy': 'mixed_with_warnings', 'required_variables': [], 'derived_indicators': []}"
"Compute ocean acidification ph anomaly in bbox lon[-70,20] lat[-60,0] from 2021-10 to 2021-12 down to 2000m including real-time data (warn on low QC).",ocean_acidification_ph_anomaly,"{'application_type': 'ocean_acidification_ph_anomaly', 'region_mode': 'bbox', 'bbox': [-70, 20, -60, 0], 'time_mode': 'range', 'start': '2021-10-01', 'end': '2021-12-28', 'depth_mode': 'max_depth_m', 'max_depth_m': 2000, 'qc_policy': 'mixed_with_warnings', 'required_variables': [], 'derived_indicators': []}"
"Analyze anomaly detection core temperature salinity in bbox lon[-80,0] lat[0,65] during 2022 down to 200m including real-time data (warn on low QC).",anomaly_detection_core_temperature_salinity,"{'application_type': 'anomaly_detection_core_temperature_salinity', 'region_mode': 'bbox', 'bbox': [-80, 0, 0, 65], 'time_mode': 'year', 'year': 2022, 'depth_mode': 'max_depth_m', 'max_depth_m': 200, 'qc_policy': 'mixed_with_warnings', 'required_variables': [], 'derived_indicators': []}"
"Compute mixed layer depth index in bbox lon[-70,20] lat[-60,0] during 2020 down to 2000m using adjusted/delayed-mode data only.",mixed_layer_depth_index,"{'application_type': 'mixed_layer_depth_index', 'region_mode': 'bbox', 'bbox': [-70, 20, -60, 0], 'time_mode': 'year', 'year': 2020, 'depth_mode': 'max_depth_m', 'max_depth_m': 2000, 'qc_policy': 'prefer_adjusted', 'required_variables': [], 'derived_indicators': []}"
Report harmful algal bloom hab support in the South Atlantic during 2020 pressure up to 2000 dbar using adjusted/delayed-mode data only.,harmful_algal_bloom_hab_support,"{'application_type': 'harmful_algal_bloom_hab_support', 'region_mode': 'named', 'region_name': 'South Atlantic', 'time_mode': 'year', 'year': 2020, 'depth_mode': 'max_pressure_dbar', 'max_pressure_dbar': 2000, 'qc_policy': 'prefer_adjusted', 'required_variables': [], 'derived_indicators': []}"
"Compute ocean heat content time series in bbox lon[-80,0] lat[0,65] during 2021 down to 700m including real-time data (warn on low QC).",ocean_heat_content_timeseries,"{'application_type': 'ocean_heat_content_timeseries', 'region_mode': 'bbox', 'bbox': [-80, 0, 0, 65], 'time_mode': 'year', 'year': 2021, 'depth_mode': 'max_depth_m', 'max_depth_m': 700, 'qc_policy': 'mixed_with_warnings', 'required_variables': ['TEMP', 'PRES'], 'derived_indicators': ['OHC_0_700', 'OHC_0_2000']}"
Report mixed layer depth index in the North Atlantic during 2023 pressure up to 1000 dbar using adjusted/delayed-mode data only.,mixed_layer_depth_index,"{'application_type': 'mixed_layer_depth_index', 'region_mode': 'named', 'region_name': 'North Atlantic', 'time_mode': 'year', 'year': 2023, 'depth_mode': 'max_pressure_dbar', 'max_pressure_dbar': 1000, 'qc_policy': 'prefer_adjusted', 'required_variables': [], 'derived_indicators': []}"
Investigate explainability provenance report in the North Atlantic from 2021-10 to 2021-11 pressure up to 200 dbar using adjusted/delayed-mode data only.,explainability_provenance_report,"{'application_type': 'explainability_provenance_report', 'region_mode': 'named', 'region_name': 'North Atlantic', 'time_mode': 'range', 'start': '2021-10-01', 'end': '2021-11-28', 'depth_mode': 'max_pressure_dbar', 'max_pressure_dbar': 200, 'qc_policy': 'prefer_adjusted', 'required_variables': [], 'derived_indicators': []}"
"Assess deoxygenation and acidification risk in bbox lon[-80,0] lat[0,65] from 2020-02 to 2020-03 pressure up to 200 dbar using adjusted/delayed-mode data only.",bgc_ocean_health_scores,"{'application_type': 'bgc_ocean_health_scores', 'region_mode': 'bbox', 'bbox': [-80, 0, 0, 65], 'time_mode': 'range', 'start': '2020-02-01', 'end': '2020-03-28', 'depth_mode': 'max_pressure_dbar', 'max_pressure_dbar': 200, 'qc_policy': 'prefer_adjusted', 'required_variables': ['DOXY', 'PH_IN_SITU_TOTAL', 'PRES'], 'derived_indicators': ['oxygen_anomaly', 'pH_anomaly', 'risk_score']}"
"Summarize ocean acidification ph anomaly in bbox lon[20,120] lat[-50,25] during 2024 pressure up to 2000 dbar including real-time data (warn on low QC).",ocean_acidification_ph_anomaly,"{'application_type': 'ocean_acidification_ph_anomaly', 'region_mode': 'bbox', 'bbox': [20, 120, -50, 25], 'time_mode': 'year', 'year': 2024, 'depth_mode': 'max_pressure_dbar', 'max_pressure_dbar': 2000, 'qc_policy': 'mixed_with_warnings', 'required_variables': [], 'derived_indicators': []}"
"Analyze oxygen minimum zone extent in bbox lon[20,120] lat[-50,25] during 2021 down to 1000m using adjusted/delayed-mode data only.",oxygen_minimum_zone_extent,"{'application_type': 'oxygen_minimum_zone_extent', 'region_mode': 'bbox', 'bbox': [20, 120, -50, 25], 'time_mode': 'year', 'year': 2021, 'depth_mode': 'max_depth_m', 'max_depth_m': 1000, 'qc_policy': 'prefer_adjusted', 'required_variables': [], 'derived_indicators': []}"
"Compute ocean heat content time series in bbox lon[-70,20] lat[-60,0] from 2024-02 to 2024-03 down to 700m including real-time data (warn on low QC).",ocean_heat_content_timeseries,"{'application_type': 'ocean_heat_content_timeseries', 'region_mode': 'bbox', 'bbox': [-70, 20, -60, 0], 'time_mode': 'range', 'start': '2024-02-01', 'end': '2024-03-28', 'depth_mode': 'max_depth_m', 'max_depth_m': 700, 'qc_policy': 'mixed_with_warnings', 'required_variables': ['TEMP', 'PRES'], 'derived_indicators': ['OHC_0_700', 'OHC_0_2000']}"
Report thermocline depth index in the North Atlantic during 2021 down to 1000m including real-time data (warn on low QC).,thermocline_depth_index,"{'application_type': 'thermocline_depth_index', 'region_mode': 'named', 'region_name': 'North Atlantic', 'time_mode': 'year', 'year': 2021, 'depth_mode': 'max_depth_m', 'max_depth_m': 1000, 'qc_policy': 'mixed_with_warnings', 'required_variables': [], 'derived_indicators': []}"
"Compute ocean heat content time series in bbox lon[20,120] lat[-50,25] from 2022-02 to 2022-03 down to 200m including real-time data (warn on low QC).",ocean_heat_content_timeseries,"{'application_type': 'ocean_heat_content_timeseries', 'region_mode': 'bbox', 'bbox': [20, 120, -50, 25], 'time_mode': 'range', 'start': '2022-02-01', 'end': '2022-03-28', 'depth_mode': 'max_depth_m', 'max_depth_m': 200, 'qc_policy': 'mixed_with_warnings', 'required_variables': ['TEMP', 'PRES'], 'derived_indicators': ['OHC_0_700', 'OHC_0_2000']}"
Analyze float trajectory spatiotemporal track in the South Atlantic from 2021-04 to 2021-06 down to 1000m including real-time data (warn on low QC).,float_trajectory_spatiotemporal_track,"{'application_type': 'float_trajectory_spatiotemporal_track', 'region_mode': 'named', 'region_name': 'South Atlantic', 'time_mode': 'range', 'start': '2021-04-01', 'end': '2021-06-28', 'depth_mode': 'max_depth_m', 'max_depth_m': 1000, 'qc_policy': 'mixed_with_warnings', 'required_variables': [], 'derived_indicators': []}"
Summarize thermocline depth index in the Indian Ocean during 2022 down to 700m including real-time data (warn on low QC).,thermocline_depth_index,"{'application_type': 'thermocline_depth_index', 'region_mode': 'named', 'region_name': 'Indian Ocean', 'time_mode': 'year', 'year': 2022, 'depth_mode': 'max_depth_m', 'max_depth_m': 700, 'qc_policy': 'mixed_with_warnings', 'required_variables': [], 'derived_indicators': []}"
Assess deoxygenation and acidification risk in the Indian Ocean during 2025 down to 200m including real-time data (warn on low QC).,bgc_ocean_health_scores,"{'application_type': 'bgc_ocean_health_scores', 'region_mode': 'named', 'region_name': 'Indian Ocean', 'time_mode': 'year', 'year': 2025, 'depth_mode': 'max_depth_m', 'max_depth_m': 200, 'qc_policy': 'mixed_with_warnings', 'required_variables': ['DOXY', 'PH_IN_SITU_TOTAL', 'PRES'], 'derived_indicators': ['oxygen_anomaly', 'pH_anomaly', 'risk_score']}"
Analyze float trajectory spatiotemporal track in the Indian Ocean from 2022-03 to 2022-05 down to 1000m using adjusted/delayed-mode data only.,float_trajectory_spatiotemporal_track,"{'application_type': 'float_trajectory_spatiotemporal_track', 'region_mode': 'named', 'region_name': 'Indian Ocean', 'time_mode': 'range', 'start': '2022-03-01', 'end': '2022-05-28', 'depth_mode': 'max_depth_m', 'max_depth_m': 1000, 'qc_policy': 'prefer_adjusted', 'required_variables': [], 'derived_indicators': []}"
"Compute oil spill transport forecast inputs in bbox lon[-80,0] lat[0,65] during 2025 pressure up to 1000 dbar including real-time data (warn on low QC).",oil_spill_transport_forecast_inputs,"{'application_type': 'oil_spill_transport_forecast_inputs', 'region_mode': 'bbox', 'bbox': [-80, 0, 0, 65], 'time_mode': 'year', 'year': 2025, 'depth_mode': 'max_pressure_dbar', 'max_pressure_dbar': 1000, 'qc_policy': 'mixed_with_warnings', 'required_variables': [], 'derived_indicators': []}"
"Investigate ocean acidification ph anomaly in bbox lon[-80,0] lat[0,65] from 2021-01 to 2021-02 pressure up to 1000 dbar including real-time data (warn on low QC).",ocean_acidification_ph_anomaly,"{'application_type': 'ocean_acidification_ph_anomaly', 'region_mode': 'bbox', 'bbox': [-80, 0, 0, 65], 'time_mode': 'range', 'start': '2021-01-01', 'end': '2021-02-28', 'depth_mode': 'max_pressure_dbar', 'max_pressure_dbar': 1000, 'qc_policy': 'mixed_with_warnings', 'required_variables': [], 'derived_indicators': []}"
Investigate ocean acidification ph anomaly in the South Atlantic during 2025 pressure up to 1000 dbar using adjusted/delayed-mode data only.,ocean_acidification_ph_anomaly,"{'application_type': 'ocean_acidification_ph_anomaly', 'region_mode': 'named', 'region_name': 'South Atlantic', 'time_mode': 'year', 'year': 2025, 'depth_mode': 'max_pressure_dbar', 'max_pressure_dbar': 1000, 'qc_policy': 'prefer_adjusted', 'required_variables': [], 'derived_indicators': []}"
"Analyze oil spill transport forecast inputs in bbox lon[-70,20] lat[-60,0] during 2021 pressure up to 1000 dbar using adjusted/delayed-mode data only.",oil_spill_transport_forecast_inputs,"{'application_type': 'oil_spill_transport_forecast_inputs', 'region_mode': 'bbox', 'bbox': [-70, 20, -60, 0], 'time_mode': 'year', 'year': 2021, 'depth_mode': 'max_pressure_dbar', 'max_pressure_dbar': 1000, 'qc_policy': 'prefer_adjusted', 'required_variables': [], 'derived_indicators': []}"
"Summarize harmful algal bloom hab support in bbox lon[-70,20] lat[-60,0] from 2023-09 to 2023-11 pressure up to 200 dbar including real-time data (warn on low QC).",harmful_algal_bloom_hab_support,"{'application_type': 'harmful_algal_bloom_hab_support', 'region_mode': 'bbox', 'bbox': [-70, 20, -60, 0], 'time_mode': 'range', 'start': '2023-09-01', 'end': '2023-11-28', 'depth_mode': 'max_pressure_dbar', 'max_pressure_dbar': 200, 'qc_policy': 'mixed_with_warnings', 'required_variables': [], 'derived_indicators': []}"
"Assess deoxygenation and acidification risk in bbox lon[20,120] lat[-50,25] during 2022 down to 1000m including real-time data (warn on low QC).",bgc_ocean_health_scores,"{'application_type': 'bgc_ocean_health_scores', 'region_mode': 'bbox', 'bbox': [20, 120, -50, 25], 'time_mode': 'year', 'year': 2022, 'depth_mode': 'max_depth_m', 'max_depth_m': 1000, 'qc_policy': 'mixed_with_warnings', 'required_variables': ['DOXY', 'PH_IN_SITU_TOTAL', 'PRES'], 'derived_indicators': ['oxygen_anomaly', 'pH_anomaly', 'risk_score']}"
"Investigate search and rescue drift support in bbox lon[-70,20] lat[-60,0] during 2024 pressure up to 200 dbar using adjusted/delayed-mode data only.",search_and_rescue_drift_support,"{'application_type': 'search_and_rescue_drift_support', 'region_mode': 'bbox', 'bbox': [-70, 20, -60, 0], 'time_mode': 'year', 'year': 2024, 'depth_mode': 'max_pressure_dbar', 'max_pressure_dbar': 200, 'qc_policy': 'prefer_adjusted', 'required_variables': [], 'derived_indicators': []}"
"Compute ocean heat content time series in bbox lon[20,120] lat[-50,25] from 2024-04 to 2024-06 down to 1000m including real-time data (warn on low QC).",ocean_heat_content_timeseries,"{'application_type': 'ocean_heat_content_timeseries', 'region_mode': 'bbox', 'bbox': [20, 120, -50, 25], 'time_mode': 'range', 'start': '2024-04-01', 'end': '2024-06-28', 'depth_mode': 'max_depth_m', 'max_depth_m': 1000, 'qc_policy': 'mixed_with_warnings', 'required_variables': ['TEMP', 'PRES'], 'derived_indicators': ['OHC_0_700', 'OHC_0_2000']}"
"Report anomaly detection core temperature salinity in bbox lon[20,120] lat[-50,25] during 2024 down to 2000m including real-time data (warn on low QC).",anomaly_detection_core_temperature_salinity,"{'application_type': 'anomaly_detection_core_temperature_salinity', 'region_mode': 'bbox', 'bbox': [20, 120, -50, 25], 'time_mode': 'year', 'year': 2024, 'depth_mode': 'max_depth_m', 'max_depth_m': 2000, 'qc_policy': 'mixed_with_warnings', 'required_variables': [], 'derived_indicators': []}"
Compute float trajectory spatiotemporal track in the North Atlantic from 2023-03 to 2023-05 down to 200m using adjusted/delayed-mode data only.,float_trajectory_spatiotemporal_track,"{'application_type': 'float_trajectory_spatiotemporal_track', 'region_mode': 'named', 'region_name': 'North Atlantic', 'time_mode': 'range', 'start': '2023-03-01', 'end': '2023-05-28', 'depth_mode': 'max_depth_m', 'max_depth_m': 200, 'qc_policy': 'prefer_adjusted', 'required_variables': [], 'derived_indicators': []}"
"Find floats/profiles in bbox lon[20,120] lat[-50,25] during 2022 that match: strong stratification and warm subsurface.",semantic_retrieval_floats_profiles,"{'application_type': 'semantic_retrieval_floats_profiles', 'region_mode': 'bbox', 'bbox': [20, 120, -50, 25], 'time_mode': 'year', 'year': 2022, 'depth_mode': 'max_depth_m', 'max_depth_m': 700, 'qc_policy': 'mixed_with_warnings', 'required_variables': [], 'derived_indicators': []}"
"Compute thermocline depth index in bbox lon[-70,20] lat[-60,0] from 2025-02 to 2025-03 pressure up to 200 dbar including real-time data (warn on low QC).",thermocline_depth_index,"{'application_type': 'thermocline_depth_index', 'region_mode': 'bbox', 'bbox': [-70, 20, -60, 0], 'time_mode': 'range', 'start': '2025-02-01', 'end': '2025-03-28', 'depth_mode': 'max_pressure_dbar', 'max_pressure_dbar': 200, 'qc_policy': 'mixed_with_warnings', 'required_variables': [], 'derived_indicators': []}"
Compute ocean heat content time series in the North Atlantic from 2023-02 to 2023-04 down to 700m including real-time data (warn on low QC).,ocean_heat_content_timeseries,"{'application_type': 'ocean_heat_content_timeseries', 'region_mode': 'named', 'region_name': 'North Atlantic', 'time_mode': 'range', 'start': '2023-02-01', 'end': '2023-04-28', 'depth_mode': 'max_depth_m', 'max_depth_m': 700, 'qc_policy': 'mixed_with_warnings', 'required_variables': ['TEMP', 'PRES'], 'derived_indicators': ['OHC_0_700', 'OHC_0_2000']}"
Build sound speed profile inputs for underwater acoustics in the South Atlantic from 2021-01 to 2021-02 pressure up to 200 dbar using adjusted/delayed-mode data only.,acoustic_sound_speed_profile_inputs,"{'application_type': 'acoustic_sound_speed_profile_inputs', 'region_mode': 'named', 'region_name': 'South Atlantic', 'time_mode': 'range', 'start': '2021-01-01', 'end': '2021-02-28', 'depth_mode': 'max_pressure_dbar', 'max_pressure_dbar': 200, 'qc_policy': 'prefer_adjusted', 'required_variables': ['TEMP', 'SAL', 'PRES'], 'derived_indicators': ['sound_speed_profile_proxy']}"
"Report data sufficiency coverage report in bbox lon[-80,0] lat[0,65] during 2020 pressure up to 2000 dbar including real-time data (warn on low QC).",data_sufficiency_coverage_report,"{'application_type': 'data_sufficiency_coverage_report', 'region_mode': 'bbox', 'bbox': [-80, 0, 0, 65], 'time_mode': 'year', 'year': 2020, 'depth_mode': 'max_pressure_dbar', 'max_pressure_dbar': 2000, 'qc_policy': 'mixed_with_warnings', 'required_variables': [], 'derived_indicators': []}"
"Investigate search and rescue drift support in bbox lon[-70,20] lat[-60,0] from 2025-07 to 2025-09 pressure up to 2000 dbar including real-time data (warn on low QC).",search_and_rescue_drift_support,"{'application_type': 'search_and_rescue_drift_support', 'region_mode': 'bbox', 'bbox': [-70, 20, -60, 0], 'time_mode': 'range', 'start': '2025-07-01', 'end': '2025-09-28', 'depth_mode': 'max_pressure_dbar', 'max_pressure_dbar': 2000, 'qc_policy': 'mixed_with_warnings', 'required_variables': [], 'derived_indicators': []}"
"Summarize harmful algal bloom hab support in bbox lon[-80,0] lat[0,65] from 2022-09 to 2022-11 pressure up to 1000 dbar using adjusted/delayed-mode data only.",harmful_algal_bloom_hab_support,"{'application_type': 'harmful_algal_bloom_hab_support', 'region_mode': 'bbox', 'bbox': [-80, 0, 0, 65], 'time_mode': 'range', 'start': '2022-09-01', 'end': '2022-11-28', 'depth_mode': 'max_pressure_dbar', 'max_pressure_dbar': 1000, 'qc_policy': 'prefer_adjusted', 'required_variables': [], 'derived_indicators': []}"
Compute ocean acidification ph anomaly in the South Atlantic during 2024 down to 2000m including real-time data (warn on low QC).,ocean_acidification_ph_anomaly,"{'application_type': 'ocean_acidification_ph_anomaly', 'region_mode': 'named', 'region_name': 'South Atlantic', 'time_mode': 'year', 'year': 2024, 'depth_mode': 'max_depth_m', 'max_depth_m': 2000, 'qc_policy': 'mixed_with_warnings', 'required_variables': [], 'derived_indicators': []}"
Report thermocline depth index in the South Atlantic during 2024 down to 2000m using adjusted/delayed-mode data only.,thermocline_depth_index,"{'application_type': 'thermocline_depth_index', 'region_mode': 'named', 'region_name': 'South Atlantic', 'time_mode': 'year', 'year': 2024, 'depth_mode': 'max_depth_m', 'max_depth_m': 2000, 'qc_policy': 'prefer_adjusted', 'required_variables': [], 'derived_indicators': []}"
Compute ocean heat content time series in the Indian Ocean from 2020-05 to 2020-07 pressure up to 1000 dbar including real-time data (warn on low QC).,ocean_heat_content_timeseries,"{'application_type': 'ocean_heat_content_timeseries', 'region_mode': 'named', 'region_name': 'Indian Ocean', 'time_mode': 'range', 'start': '2020-05-01', 'end': '2020-07-28', 'depth_mode': 'max_pressure_dbar', 'max_pressure_dbar': 1000, 'qc_policy': 'mixed_with_warnings', 'required_variables': ['TEMP', 'PRES'], 'derived_indicators': ['OHC_0_700', 'OHC_0_2000']}"
Investigate ocean acidification ph anomaly in the South Atlantic during 2023 down to 2000m including real-time data (warn on low QC).,ocean_acidification_ph_anomaly,"{'application_type': 'ocean_acidification_ph_anomaly', 'region_mode': 'named', 'region_name': 'South Atlantic', 'time_mode': 'year', 'year': 2023, 'depth_mode': 'max_depth_m', 'max_depth_m': 2000, 'qc_policy': 'mixed_with_warnings', 'required_variables': [], 'derived_indicators': []}"
"Compute float trajectory spatiotemporal track in bbox lon[20,120] lat[-50,25] from 2023-01 to 2023-02 pressure up to 200 dbar including real-time data (warn on low QC).",float_trajectory_spatiotemporal_track,"{'application_type': 'float_trajectory_spatiotemporal_track', 'region_mode': 'bbox', 'bbox': [20, 120, -50, 25], 'time_mode': 'range', 'start': '2023-01-01', 'end': '2023-02-28', 'depth_mode': 'max_pressure_dbar', 'max_pressure_dbar': 200, 'qc_policy': 'mixed_with_warnings', 'required_variables': [], 'derived_indicators': []}"
Investigate mixed layer depth index in the South Atlantic during 2021 down to 2000m using adjusted/delayed-mode data only.,mixed_layer_depth_index,"{'application_type': 'mixed_layer_depth_index', 'region_mode': 'named', 'region_name': 'South Atlantic', 'time_mode': 'year', 'year': 2021, 'depth_mode': 'max_depth_m', 'max_depth_m': 2000, 'qc_policy': 'prefer_adjusted', 'required_variables': [], 'derived_indicators': []}"
